Time,Value
2.384185791015625e-07,99.62070624792092
0.6036803722381592,100.70199227608026
0.7043492794036865,104.23764274503078
0.8048994541168213,106.69253001863076
0.9054603576660156,107.67451029331839
1.00634765625,108.70078626512199
1.1068670749664307,111.41740037638927
1.2075107097625732,113.2496199415148
1.3080267906188965,113.3239592119902
1.4085512161254883,116.93276672545305
1.508880376815796,117.68507180805759
1.609123706817627,116.85317568999793
1.7097373008728027,118.11593609246142
1.81016206741333,119.54113036453442
1.9105849266052246,121.06440046546948
2.0109355449676514,118.2250620015056
2.1112232208251953,120.31860399602371
2.211594820022583,119.73864748674599
2.3119468688964844,118.71971148281793
2.41259503364563,119.05964111237668
2.512951374053955,118.04616891926888
2.6137516498565674,114.57347086865286
2.7144269943237305,116.16044753753134
2.815056324005127,114.14723417485457
2.915529489517212,113.20498848899746
3.0160202980041504,111.47168107654812
3.1168532371520996,110.97536801004928
3.2174296379089355,108.8126456206386
3.3177661895751953,107.97498864449857
3.418212413787842,105.18762542694368
3.518953323364258,102.13880681980706
3.6193408966064453,99.2902926386908
3.7199976444244385,99.0545542265076
3.820608615875244,95.41753252116409
3.920896530151367,94.87203509802109
4.021080493927002,95.12871967377733
4.121285676956177,89.81401903531072
4.221730470657349,89.47250109634366
4.32235312461853,88.09353149243417
4.4230241775512695,86.26950284413459
4.523435354232788,85.13222389976235
4.623790502548218,82.79835679878346
4.7243640422821045,82.37841406543497
4.824729681015015,80.35913500358154
4.925193548202515,81.71948909007122
5.025724649429321,79.86220651294187
5.126192808151245,79.59845267639074
5.226403713226318,79.47046111124929
5.326719522476196,80.73666973149376
5.427318096160889,80.95422210869751
5.528057336807251,80.06294118660747
5.62858772277832,81.38435724112469
5.729144811630249,82.6310350989132
5.829428195953369,84.4470589622168
